,Path,Flight ID,PNR ID,Class
0,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,MOND64,FC
1,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,TSYL49,FC
2,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,SSGX76,BC
3,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,SLTM45,PC
4,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,CTIG44,PC
5,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,QRIP14,BC
6,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,KJYR74,BC
7,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,FSRD41,BC
8,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,QFPU93,BC
9,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,SGGA32,PC
10,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,QHYP50,PC
11,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,PFAP14,EC
12,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,QNBG63,EC
13,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,RHOX59,FC
14,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,UIVU94,BC
15,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,NEAZ82,FC
16,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,NBCG32,PC
17,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,XGAK76,BC
18,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,LWTY14,EC
19,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,JARR61,EC
20,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,IHVW74,EC
21,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,XOYF15,PC
22,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,USQR34,FC
23,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,EYBM67,BC
24,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,XHJD64,PC
25,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,LEHN69,EC
26,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,ASQW29,BC
27,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,OWIO84,EC
28,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,GXWJ97,EC
29,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,HWZC88,EC
30,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,DOCV87,EC
31,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,JAWM74,EC
32,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,BFXC92,EC
33,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,KJTO20,EC
34,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,BFNJ82,EC
35,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,KJQS33,BC
36,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,UINT28,PC
37,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,FLOT48,PC
38,0,INV-ZZ-3737542///INV-ZZ-6717278///INV-ZZ-9664478,NUIZ51,PC
